date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:58:24	1901/1901	---M-Z	503	error ('Service%20Unavailable')	text/html	date:Tue,%2010%20Jun%202025%2018:58:25%20GMT	https://destinyabroadfoundation.org/robots.txt		(from )
19:58:25	124066/124066	---MCZ	200	added ('OK')	text/html	etag:%22483-1749322093;gz%22	https://destinyabroadfoundation.org/sport/	C:/My%20Web%20Sites/DAF!/destinyabroadfoundation.org/sport/index.html	(from )
19:58:26	1416480/1416480	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20May%202025%2009:42:28%20GMT	https://destinyabroadfoundation.org/sport/wp-content/litespeed/css/10bb34b0208ae2db7dfab4d9e86169dd.css?ver=7ba0f	C:/My%20Web%20Sites/DAF!/destinyabroadfoundation.org/sport/wp-content/litespeed/css/10bb34b0208ae2db7dfab4d9e86169dd41d1.css	(from https://destinyabroadfoundation.org/sport/)
19:58:26	59008/59008	---M-Z	200	added ('OK')	application/json	etag:%22492-1749581463;gz%22	https://destinyabroadfoundation.org/sport/wp-json/wp/v2/pages/1074	C:/My%20Web%20Sites/DAF!/destinyabroadfoundation.org/sport/wp-json/wp/v2/pages/1074.json	(from https://destinyabroadfoundation.org/sport/)
19:58:27	316112/316112	---M-Z	200	added ('OK')	application/json	etag:%22493-1749581463;gz%22	https://destinyabroadfoundation.org/sport/wp-json/	C:/My%20Web%20Sites/DAF!/destinyabroadfoundation.org/sport/wp-json/index.html	(from https://destinyabroadfoundation.org/sport/)
19:58:27	787/787	---M--	403	error ('Forbidden')	text/html	date:Tue,%2010%20Jun%202025%2018:58:26%20GMT	https://destinyabroadfoundation.org/sport/xmlrpc.php?rsd	C:/My%20Web%20Sites/DAF!/destinyabroadfoundation.org/sport/xmlrpc0db0.php	(from https://destinyabroadfoundation.org/sport/)
19:58:27	26141/26141	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b2b45a9b059001ba354fa5b41d714ad3%22	https://destinyabroadfoundation.org/sport/feed/	C:/My%20Web%20Sites/DAF!/destinyabroadfoundation.org/sport/feed/index.html	(from https://destinyabroadfoundation.org/sport/)
19:58:27	2169/2169	---M-Z	200	added ('OK')	application/json	etag:%22494-1749581465;gz%22	https://destinyabroadfoundation.org/sport/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdestinyabroadfoundation.org%2Fsport%2F	C:/My%20Web%20Sites/DAF!/destinyabroadfoundation.org/sport/wp-json/oembed/1.0/embedab6a.json	(from https://destinyabroadfoundation.org/sport/)
19:58:27	780/780	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b2b45a9b059001ba354fa5b41d714ad3%22	https://destinyabroadfoundation.org/sport/comments/feed/	C:/My%20Web%20Sites/DAF!/destinyabroadfoundation.org/sport/comments/feed/index.html	(from https://destinyabroadfoundation.org/sport/)
19:58:28	2324/2324	---M-Z	200	added ('OK')	text/xml	etag:%22495-1749581465;gz%22	https://destinyabroadfoundation.org/sport/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdestinyabroadfoundation.org%2Fsport%2F&format=xml	C:/My%20Web%20Sites/DAF!/destinyabroadfoundation.org/sport/wp-json/oembed/1.0/embed9630	(from https://destinyabroadfoundation.org/sport/)
