date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:45	110582/110582	---MCZ	200	added ('OK')	text/html	etag:%22513-1749581745;gz%22	https://destinyabroadfoundation.org/heart/	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/index.html	(from )
19:55:45	1901/1901	---M-Z	503	error ('Service%20Unavailable')	text/html	date:Tue,%2010%20Jun%202025%2018:55:46%20GMT	https://destinyabroadfoundation.org/robots.txt		(from )
19:55:46	71756/71756	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20May%202025%2012:04:37%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/jupiterx-core/includes/extensions/raven/assets/lib/animate/animate.min.css?ver=4.5.0	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/jupiterx-core/includes/extensions/raven/assets/lib/animate/animate.min268f.css	(from https://destinyabroadfoundation.org/heart/)
19:55:46	2138/2138	---M-Z	200	added ('OK')	application/rss+xml	etag:%22928d77d413169880647cf0a1c0e25684%22	https://destinyabroadfoundation.org/heart/feed/	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/feed/index.html	(from https://destinyabroadfoundation.org/heart/)
19:55:46	790/790	---M-Z	200	added ('OK')	application/rss+xml	etag:%22928d77d413169880647cf0a1c0e25684%22	https://destinyabroadfoundation.org/heart/comments/feed/	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/comments/feed/index.html	(from https://destinyabroadfoundation.org/heart/)
19:55:47	141564/141564	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Jan%202025%2015:34:06%20GMT	https://destinyabroadfoundation.org/heart/wp-content/uploads/jupiterx/compiler/jupiterx/d006faf.css?ver=4.5.0	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/uploads/jupiterx/compiler/jupiterx/d006faf268f.css	(from https://destinyabroadfoundation.org/heart/)
19:55:47	51242/51242	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Jan%202025%2015:10:49%20GMT	https://destinyabroadfoundation.org/heart/wp-content/uploads/jupiterx/compiler/jupiterx-elements-dynamic-styles/5164acb.css?ver=4.5.0	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/uploads/jupiterx/compiler/jupiterx-elements-dynamic-styles/5164acb268f.css	(from https://destinyabroadfoundation.org/heart/)
19:55:47	53358/53358	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:28%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.29.2	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/frontend.min2801.css	(from https://destinyabroadfoundation.org/heart/)
19:55:47	254/254	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:28%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.29.2	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-image.min2801.css	(from https://destinyabroadfoundation.org/heart/)
19:55:48	10310/10310	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:28%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.29.2	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-icon-list.min2801.css	(from https://destinyabroadfoundation.org/heart/)
19:55:48	358/358	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:36%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.min.css?ver=3.29.2	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.min2801.css	(from https://destinyabroadfoundation.org/heart/)
19:55:48	5150/5150	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:28%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.29.2	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-social-icons.min2801.css	(from https://destinyabroadfoundation.org/heart/)
19:55:48	7025/7025	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:27%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=3.29.2	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min2801.css	(from https://destinyabroadfoundation.org/heart/)
19:55:49	30999/30999	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:36%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://destinyabroadfoundation.org/heart/)
19:55:49	1229/1229	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:42%20GMT	https://destinyabroadfoundation.org/heart/wp-content/uploads/elementor/css/post-160.css?ver=1749275202	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/uploads/elementor/css/post-16063aa.css	(from https://destinyabroadfoundation.org/heart/)
19:55:49	816892/816892	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20May%202025%2012:04:36%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/jupiterx-core/includes/extensions/raven/assets/css/frontend.min.css?ver=6.8.1	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/jupiterx-core/includes/extensions/raven/assets/css/frontend.min0899.css	(from https://destinyabroadfoundation.org/heart/)
19:55:50	974/974	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Dec%202024%2021:12:41%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor-pro/assets/css/conditionals/popup.min.css?ver=3.25.4	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor-pro/assets/css/conditionals/popup.min401f.css	(from https://destinyabroadfoundation.org/heart/)
19:55:50	15588/15588	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:36%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.css?ver=4.6.13	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min4e7f.css	(from https://destinyabroadfoundation.org/heart/)
19:55:50	600/600	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:28%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.29.2	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-heading.min2801.css	(from https://destinyabroadfoundation.org/heart/)
19:55:50	4298/4298	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:28%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.29.2	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-divider.min2801.css	(from https://destinyabroadfoundation.org/heart/)
19:55:51	10071/10071	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:28%20GMT	https://destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css?ver=3.29.2	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/plugins/elementor/assets/css/widget-icon-box.min2801.css	(from https://destinyabroadfoundation.org/heart/)
19:55:51	35508/35508	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:43%20GMT	https://destinyabroadfoundation.org/heart/wp-content/uploads/elementor/css/post-30.css?ver=1749275203	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/uploads/elementor/css/post-309b71.css	(from https://destinyabroadfoundation.org/heart/)
19:55:51	7345/7345	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jun%202025%2005:46:43%20GMT	https://destinyabroadfoundation.org/heart/wp-content/uploads/elementor/css/post-229.css?ver=1749275203	C:/My%20Web%20Sites/DAF/destinyabroadfoundation.org/heart/wp-content/uploads/elementor/css/post-2299b71.css	(from https://destinyabroadfoundation.org/heart/)
