date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:51	116/116	---MCZ	200	added ('OK')	text/plain	etag:%224719-1749203431;gz%22	https://olami.com.ng/robots.txt		(from )
21:33:53	139642/139642	---MCZ	200	added ('OK')	text/html	etag:%225806-1749587632;gz%22	https://olami.com.ng/	C:/My%20Web%20Sites/Olami/olami.com.ng/index.html	(from )
21:34:01	1113/1113	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Oct%202024%2015:32:53%20GMT	https://olami.com.ng/wp-content/plugins/google-analytics-premium/pro/assets/js/privacy-guard.min.js	C:/My%20Web%20Sites/Olami/olami.com.ng/wp-content/plugins/google-analytics-premium/pro/assets/js/privacy-guard.min.js	(from https://olami.com.ng/)
21:34:02	722/722	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c67a07ef16b532b8bbd5a5ab5b420fbe%22	https://olami.com.ng/comments/feed/	C:/My%20Web%20Sites/Olami/olami.com.ng/comments/feed/index.html	(from https://olami.com.ng/)
21:34:02	1732757/1732757	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202025%2003:39:39%20GMT	https://olami.com.ng/wp-content/litespeed/css/61d2161d5c609e75d43bac5ba12b2282.css?ver=bcbaf	C:/My%20Web%20Sites/Olami/olami.com.ng/wp-content/litespeed/css/61d2161d5c609e75d43bac5ba12b22822141.css	(from https://olami.com.ng/)
21:34:03	14794/14794	---MCZ	200	added ('OK')	application/rss+xml	etag:%22c67a07ef16b532b8bbd5a5ab5b420fbe%22	https://olami.com.ng/feed/	C:/My%20Web%20Sites/Olami/olami.com.ng/feed/index.html	(from https://olami.com.ng/)
21:34:05	361527/361527	---MCZ	200	added ('OK')	application/json	etag:%225807-1749587645;gz%22	https://olami.com.ng/wp-json/	C:/My%20Web%20Sites/Olami/olami.com.ng/wp-json/index.html	(from https://olami.com.ng/)
21:34:05	64747/64747	---MCZ	200	added ('OK')	application/json	date:Tue,%2010%20Jun%202025%2020:34:05%20GMT	https://olami.com.ng/wp-json/wp/v2/pages/52	C:/My%20Web%20Sites/Olami/olami.com.ng/wp-json/wp/v2/pages/52.json	(from https://olami.com.ng/)
21:34:06	787/787	---M--	403	error ('Forbidden')	text/html	date:Tue,%2010%20Jun%202025%2020:34:05%20GMT	https://olami.com.ng/xmlrpc.php?rsd	C:/My%20Web%20Sites/Olami/olami.com.ng/xmlrpc0db0.php	(from https://olami.com.ng/)
21:34:07	2131/2131	---M-Z	200	added ('OK')	application/json	etag:%225808-1749587647;gz%22	https://olami.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Folami.com.ng%2F	C:/My%20Web%20Sites/Olami/olami.com.ng/wp-json/oembed/1.0/embed067c.json	(from https://olami.com.ng/)
21:34:10	2314/2314	---M-Z	200	added ('OK')	text/xml	etag:%225809-1749587650;gz%22	https://olami.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Folami.com.ng%2F&format=xml	C:/My%20Web%20Sites/Olami/olami.com.ng/wp-json/oembed/1.0/embed9a76	(from https://olami.com.ng/)
21:34:10	583/583	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Apr%202024%2023:35:33%20GMT	https://olami.com.ng/wp-content/uploads/2020/02/cropped-Asset-62x-32x32.png	C:/My%20Web%20Sites/Olami/olami.com.ng/wp-content/uploads/2020/02/cropped-Asset-62x-32x32.png	(from https://olami.com.ng/)
21:34:11	4211/4211	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Apr%202024%2023:35:34%20GMT	https://olami.com.ng/wp-content/uploads/2020/02/cropped-Asset-62x-192x192.png	C:/My%20Web%20Sites/Olami/olami.com.ng/wp-content/uploads/2020/02/cropped-Asset-62x-192x192.png	(from https://olami.com.ng/)
