date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:08	116/116	---MCZ	200	added ('OK')	text/plain	etag:%224719-1749203431;gz%22	https://olami.com.ng/robots.txt		(from )
20:29:09	175133/175133	---M-Z	200	added ('OK')	text/html	etag:%224783-1749280616;gz%22	https://olami.com.ng/blogg/	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/index.html	(from )
20:29:11	1664406/1664406	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2018:35:05%20GMT	https://olami.com.ng/blogg/wp-content/litespeed/css/5239ba3e6f48116acec8a05608902fcf.css?ver=42d1f	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/wp-content/litespeed/css/5239ba3e6f48116acec8a05608902fcfec47.css	(from https://olami.com.ng/blogg/)
20:29:11	112728/112728	---MCZ	200	added ('OK')	application/json	etag:%225373-1749583751;gz%22	https://olami.com.ng/blogg/wp-json/wp/v2/pages/169	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/wp-json/wp/v2/pages/169.json	(from https://olami.com.ng/blogg/)
20:29:11	37543/37543	---M-Z	200	added ('OK')	application/rss+xml	etag:%2233d6401b0350af1d299cbe284c6f63ea%22	https://olami.com.ng/blogg/feed/	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/feed/index.html	(from https://olami.com.ng/blogg/)
20:29:11	723/723	---M-Z	200	added ('OK')	application/rss+xml	etag:%2233d6401b0350af1d299cbe284c6f63ea%22	https://olami.com.ng/blogg/comments/feed/	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/comments/feed/index.html	(from https://olami.com.ng/blogg/)
20:29:11	315238/315238	---MCZ	200	added ('OK')	application/json	etag:%225374-1749583752;gz%22	https://olami.com.ng/blogg/wp-json/	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/wp-json/index.html	(from https://olami.com.ng/blogg/)
20:29:11	787/787	---M--	403	error ('Forbidden')	text/html	date:Tue,%2010%20Jun%202025%2019:29:12%20GMT	https://olami.com.ng/blogg/xmlrpc.php?rsd	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/xmlrpc0db0.php	(from https://olami.com.ng/blogg/)
20:29:12	2085/2085	---M-Z	200	added ('OK')	application/json	etag:%225375-1749583752;gz%22	https://olami.com.ng/blogg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Folami.com.ng%2Fblogg%2F	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/wp-json/oembed/1.0/embed8c32.json	(from https://olami.com.ng/blogg/)
20:29:12	2240/2240	---M-Z	200	added ('OK')	text/xml	etag:%225376-1749583753;gz%22	https://olami.com.ng/blogg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Folami.com.ng%2Fblogg%2F&format=xml	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/wp-json/oembed/1.0/embedb83c	(from https://olami.com.ng/blogg/)
20:29:12	3148/3148	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Apr%202025%2020:03:59%20GMT	https://olami.com.ng/blogg/wp-content/uploads/2025/04/photo_2024-12-10_10-08-29-150x150.jpg	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/wp-content/uploads/2025/04/photo_2024-12-10_10-08-29-150x150.jpg	(from https://olami.com.ng/blogg/)
20:29:13	7349/7349	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Apr%202025%2020:03:59%20GMT	https://olami.com.ng/blogg/wp-content/uploads/2025/04/photo_2024-12-10_10-08-29-300x300.jpg	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/wp-content/uploads/2025/04/photo_2024-12-10_10-08-29-300x300.jpg	(from https://olami.com.ng/blogg/)
20:29:13	23835/23835	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Apr%202025%2020:42:08%20GMT	https://olami.com.ng/blogg/wp-content/uploads/2025/04/photo_2025-04-21_21-35-55-removebg-preview-e1745268128805.png	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/wp-content/uploads/2025/04/photo_2025-04-21_21-35-55-removebg-preview-e1745268128805.png	(from https://olami.com.ng/blogg/)
20:29:13	32075/32075	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Apr%202025%2019:58:15%20GMT	https://olami.com.ng/blogg/wp-content/uploads/2020/03/blog-celeb-04.jpg	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/wp-content/uploads/2020/03/blog-celeb-04.jpg	(from https://olami.com.ng/blogg/)
20:29:13	35818/35818	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Apr%202025%2019:58:14%20GMT	https://olami.com.ng/blogg/wp-content/uploads/2020/03/blog-celeb-03.jpg	C:/My%20Web%20Sites/OlamiBlog/olami.com.ng/blogg/wp-content/uploads/2020/03/blog-celeb-03.jpg	(from https://olami.com.ng/blogg/)
