date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:08	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2019:32:08%20GMT	https://olami.com.ng/shop	C:/My%20Web%20Sites/OlamiShop/olami.com.ng/shop.0.delayed	(from )
20:32:09	241845/241845	---MCZ	200	added ('OK')	text/html	etag:%225349-1749551879;gz%22	https://olami.com.ng/shop/	C:/My%20Web%20Sites/OlamiShop/olami.com.ng/shop/index.html	(from )
20:32:09	116/116	---MCZ	200	added ('OK')	text/plain	etag:%224719-1749203431;gz%22	https://olami.com.ng/robots.txt		(from )
20:32:10	914799/914799	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Jun%202025%2003:11:53%20GMT	https://olami.com.ng/shop/wp-content/litespeed/css/d290e3ee7f5e912b03a6a085c66162f4.css?ver=dbab7	C:/My%20Web%20Sites/OlamiShop/olami.com.ng/shop/wp-content/litespeed/css/d290e3ee7f5e912b03a6a085c66162f40b92.css	(from https://olami.com.ng/shop/)
20:32:11	49/49	---MC-	400	error ('Bad%20Request')	text/html	date:Tue,%2010%20Jun%202025%2019:32:11%20GMT	https://i1.wp.com/demo4.drfuri.com/razzi/wp-content/uploads/sites/14/2021/02/footer_bg_1920.png	C:/My%20Web%20Sites/OlamiShop/i1.wp.com/demo4.drfuri.com/razzi/wp-content/uploads/sites/14/2021/02/footer_bg_1920.2.delayed	(from https://olami.com.ng/shop/)
20:32:15	11575/11575	---MCZ	200	added ('OK')	application/rss+xml	etag:%22a824b85b64e9e0cc448423687e1e95b3%22	https://olami.com.ng/shop/feed/	C:/My%20Web%20Sites/OlamiShop/olami.com.ng/shop/feed/index.html	(from https://olami.com.ng/shop/)
20:32:15	7918/7918	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a824b85b64e9e0cc448423687e1e95b3%22	https://olami.com.ng/shop/comments/feed/	C:/My%20Web%20Sites/OlamiShop/olami.com.ng/shop/comments/feed/index.html	(from https://olami.com.ng/shop/)
20:32:16	1521123/1521123	---MCZ	200	added ('OK')	application/json	etag:%225377-1749583936;gz%22	https://olami.com.ng/shop/wp-json/	C:/My%20Web%20Sites/OlamiShop/olami.com.ng/shop/wp-json/index.html	(from https://olami.com.ng/shop/)
20:32:17	75790/75790	---MCZ	200	added ('OK')	application/json	etag:%225378-1749583937;gz%22	https://olami.com.ng/shop/wp-json/wp/v2/pages/12104	C:/My%20Web%20Sites/OlamiShop/olami.com.ng/shop/wp-json/wp/v2/pages/12104.json	(from https://olami.com.ng/shop/)
20:32:18	787/787	---M--	403	error ('Forbidden')	text/html	date:Tue,%2010%20Jun%202025%2019:32:18%20GMT	https://olami.com.ng/shop/xmlrpc.php?rsd	C:/My%20Web%20Sites/OlamiShop/olami.com.ng/shop/xmlrpc.40db0.delayed	(from https://olami.com.ng/shop/)
