date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:48	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Nov%202025%2011:23:47%20GMT	https://bbfreshseafood.vercel.app/robots.txt		(from )
12:23:49	33064/33064	---MCZ	200	added ('OK')	text/html	etag:W/%22232d8fd596af101a4dd37ce9e2814581%22	https://bbfreshseafood.vercel.app/	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/index.html	(from )
12:23:50	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Nov%202025%2011:23:48%20GMT	https://bbfreshseafood.vercel.app/url_to_your_seafood_image.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/url_to_your_seafood_image.0.delayed	(from https://bbfreshseafood.vercel.app/)
12:23:51	17256/17256	---MCZ	200	added ('OK')	text/css	etag:W/%22a9c95e30d0445e15f6a099b53f84ad5f%22	https://bbfreshseafood.vercel.app/css/style.css	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/css/style.css	(from https://bbfreshseafood.vercel.app/)
12:23:52	17841/17841	---MCZ	200	added ('OK')	text/css	etag:W/%222689e0a5ecdfa7bb64317bc5c078a911%22	https://bbfreshseafood.vercel.app/css/mediaquery.css	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/css/mediaquery.css	(from https://bbfreshseafood.vercel.app/)
12:23:53	55183/55183	---MCZ	200	added ('OK')	text/css	etag:W/%2277cbad34e5ce95e70847b074e05faeab%22	https://use.fontawesome.com/releases/v5.8.2/css/all.css	C:/My%20Web%20Sites/bbfresh%20kitchen/use.fontawesome.com/releases/v5.8.2/css/all.css	(from https://bbfreshseafood.vercel.app/)
12:23:54	18454/18454	---M-Z	200	added ('OK')	text/css	etag:W/%224816-00NTceTFOXSCfuleSHYg+tVGAkA%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/My%20Web%20Sites/bbfresh%20kitchen/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://bbfreshseafood.vercel.app/)
12:23:54	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/bbfresh%20kitchen/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://bbfreshseafood.vercel.app/)
12:23:55	68028/68028	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Oct%202025%2007:07:29%20GMT	https://unpkg.com/boxicons@2.1.4/css/boxicons.min.css	C:/My%20Web%20Sites/bbfresh%20kitchen/unpkg.com/boxicons@2.1.4/css/boxicons.min.css	(from https://bbfreshseafood.vercel.app/)
12:23:56	44766/44766	---M--	200	added ('OK')	image/jpeg	etag:%22cb1e6e48e75eb132adfe8f3a1628c912%22	https://bbfreshseafood.vercel.app/images/brand_logo.JPG	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/brand_logo.JPG	(from https://bbfreshseafood.vercel.app/)
12:23:58	33064/33064	---MCZ	200	added ('OK')	text/html	etag:W/%22232d8fd596af101a4dd37ce9e2814581%22	https://bbfreshseafood.vercel.app/index.html	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/index-2.html	(from https://bbfreshseafood.vercel.app/)
12:24:00	481918/481918	---M--	200	added ('OK')	image/jpeg	etag:%22e14ccc034349565eac798495cbd9b479%22	https://bbfreshseafood.vercel.app/images/ad-image.JPG	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/ad-image.JPG	(from https://bbfreshseafood.vercel.app/)
12:24:00	95344/95344	---M--	200	added ('OK')	image/jpeg	etag:%22b987b3e31404fd6c74de51180fecd869%22	https://bbfreshseafood.vercel.app/images/rsz_11shrimp.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/rsz_11shrimp.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:01	194945/194945	---M--	200	added ('OK')	image/jpeg	etag:%22bccf54600b679b6ff78e63abe82f30ce%22	https://bbfreshseafood.vercel.app/images/rsz_1crabs.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/rsz_1crabs.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:02	177145/177145	---M--	200	added ('OK')	image/jpeg	etag:%22ab3fca158fbc2d0c41183dfc689aee2c%22	https://bbfreshseafood.vercel.app/images/rsz_barracuda.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/rsz_barracuda.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:04	95757/95757	---M--	200	added ('OK')	image/jpeg	etag:%22c38f9a03efc3cd5db65bda7ef1fd252b%22	https://bbfreshseafood.vercel.app/images/rsz_calamari.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/rsz_calamari.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:04	44084/44084	---M--	200	added ('OK')	image/jpeg	etag:%22a248054fb7178eace9a2ec4db84767ca%22	https://bbfreshseafood.vercel.app/images/rsz_moonfish.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/rsz_moonfish.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:05	97005/97005	---M--	200	added ('OK')	image/jpeg	etag:%228af1abea2e5ef83c4ebc39bbedd89925%22	https://bbfreshseafood.vercel.app/images/titus_sardines.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/titus_sardines.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:06	72926/72926	---M--	200	added ('OK')	image/jpeg	etag:%22e80094d4e21a8e339cf7bb216158da5d%22	https://bbfreshseafood.vercel.app/images/rsz_1rsz_stingray.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/rsz_1rsz_stingray.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:08	95761/95761	---M--	200	added ('OK')	image/jpeg	etag:%2270e39626e46617eb80afcd5a248246e8%22	https://bbfreshseafood.vercel.app/images/Croaker.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/Croaker.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:09	95411/95411	---M--	200	added ('OK')	image/jpeg	etag:%224d62ed826b74dd0c1300220eefbd2660%22	https://bbfreshseafood.vercel.app/images/rsz_mixed%20fish.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/rsz_mixed%20fish.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:09	87648/87648	---M--	200	added ('OK')	image/jpeg	etag:%2257035cccc932b2cca1c8a251f0b8edf8%22	https://bbfreshseafood.vercel.app/images/drumstick.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/drumstick.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:10	76960/76960	---M--	200	added ('OK')	image/jpeg	etag:%22a40b83826fa84e262ecb979022aa8aa9%22	https://bbfreshseafood.vercel.app/images/turkey.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/turkey.jpg	(from https://bbfreshseafood.vercel.app/)
12:24:11	94285/94285	---M--	200	added ('OK')	image/jpeg	etag:%22b576895e83fef89560a908cd1603af04%22	https://bbfreshseafood.vercel.app/images/gizzard.jpg	C:/My%20Web%20Sites/bbfresh%20kitchen/bbfreshseafood.vercel.app/images/gizzard.jpg	(from https://bbfreshseafood.vercel.app/)
