date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:51	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2001%20Sep%202025%2009:09:51%20GMT	https://bbfreshseafood.com/robots.txt		(from )
10:09:53	195921/195921	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Sep%202025%2009:09:52%20GMT	https://bbfreshseafood.com/?v=66e10e9ff65e	C:/My%20Web%20Sites/bbfreshseafood/bbfreshseafood.com/index8930.html	(from )
10:09:56	852628/852628	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Aug%202025%2014:17:27%20GMT	https://bbfreshseafood.com/wp-content/litespeed/css/0abf9ac9e4278846332cfb0dd49c484d.css?ver=9816f	C:/My%20Web%20Sites/bbfreshseafood/bbfreshseafood.com/wp-content/litespeed/css/0abf9ac9e4278846332cfb0dd49c484de5ba.css	(from https://bbfreshseafood.com/?v=66e10e9ff65e)
10:09:57	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2001%20Sep%202025%2009:09:55%20GMT	https://bbfreshseafood.com/	C:/My%20Web%20Sites/bbfreshseafood/bbfreshseafood.com/index.html	(from https://bbfreshseafood.com/?v=66e10e9ff65e)
10:09:57	10095/10095	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ade951-276f%22	https://stats.wp.com/s-202536.js	C:/My%20Web%20Sites/bbfreshseafood/stats.wp.com/s-202536.js	(from https://bbfreshseafood.com/?v=66e10e9ff65e)
10:09:58	0/0	---M--	307	error ('Temporary%20Redirect')	application/rss+xml	etag:%22ee0619137e11fa2d69c7bba91590e0f4%22	https://bbfreshseafood.com/feed/	C:/My%20Web%20Sites/bbfreshseafood/bbfreshseafood.com/feed/index.html	(from https://bbfreshseafood.com/?v=66e10e9ff65e)
10:09:58	0/0	---M--	307	error ('Temporary%20Redirect')	application/rss+xml	etag:%22ee0619137e11fa2d69c7bba91590e0f4%22	https://bbfreshseafood.com/comments/feed/	C:/My%20Web%20Sites/bbfreshseafood/bbfreshseafood.com/comments/feed/index.html	(from https://bbfreshseafood.com/?v=66e10e9ff65e)
10:09:58	56245/56245	---MCZ	200	added ('OK')	application/json	date:Mon,%2001%20Sep%202025%2009:09:59%20GMT	https://bbfreshseafood.com/wp-json/wp/v2/pages/10918	C:/My%20Web%20Sites/bbfreshseafood/bbfreshseafood.com/wp-json/wp/v2/pages/10918.json	(from https://bbfreshseafood.com/?v=66e10e9ff65e)
10:09:58	787/787	---M--	403	error ('Forbidden')	text/html	date:Mon,%2001%20Sep%202025%2009:09:59%20GMT	https://bbfreshseafood.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/bbfreshseafood/bbfreshseafood.com/xmlrpc0db0.php	(from https://bbfreshseafood.com/?v=66e10e9ff65e)
10:09:59	1747445/1747445	---MCZ	200	added ('OK')	application/json	date:Mon,%2001%20Sep%202025%2009:09:59%20GMT	https://bbfreshseafood.com/wp-json/	C:/My%20Web%20Sites/bbfreshseafood/bbfreshseafood.com/wp-json/index.html	(from https://bbfreshseafood.com/?v=66e10e9ff65e)
